name,cp,appearances,avg_placement,best_placement,worst_placement,median_placement,placement_std,total_wins,total_losses,total_ties,win_rate,top8_finishes,top16_finishes,top32_finishes,top64_finishes,day2_appearances,day2_rate,top8_rate,top16_rate,placement_consistency
Joshua Morris,184,1,144.0,144,144,144.0,0.0,8,2,3,0.6153846153846154,0,0,0,0,1,1.0,0.0,0.0,1.0
Justin Hoy,900,72,144.05555555555554,1,297,142.5,84.10940040391876,615,198,123,0.657051282051282,3,5,8,16,72,1.0,0.041666666666666664,0.06944444444444445,0.011749583421503652
Pearce Blend,665,61,144.55737704918033,7,302,154.0,81.79986238581822,507,177,109,0.639344262295082,1,2,6,15,61,1.0,0.01639344262295082,0.03278688524590164,0.012077314758572327
JoRequena_,930,67,144.82089552238807,5,301,120.0,87.24381116769645,574,200,97,0.6590126291618829,2,2,4,13,67,1.0,0.029850746268656716,0.029850746268656716,0.011332239471158195
Matthew Burris,870,76,145.1315789473684,10,286,119.0,76.95580413116144,642,209,137,0.6497975708502024,0,1,4,13,76,1.0,0.0,0.013157894736842105,0.012827781217130282
Tim Vince,670,74,145.1891891891892,14,324,136.5,80.37355860369287,617,221,124,0.6413721413721414,0,1,5,16,74,1.0,0.0,0.013513513513513514,0.01228900415760628
Kenny Mauder,620,59,145.3050847457627,20,272,156.0,75.2605254953586,492,176,99,0.6414602346805737,0,0,6,13,59,1.0,0.0,0.0,0.013112943996968161
Ming Weng,680,75,145.46666666666667,4,331,138.0,79.56967596599432,626,223,126,0.642051282051282,1,2,7,14,75,1.0,0.013333333333333334,0.02666666666666667,0.012411617497655885
Justin K,635,59,145.57627118644066,3,286,153.0,85.34295991202718,493,175,99,0.6427640156453716,1,2,5,15,59,1.0,0.01694915254237288,0.03389830508474576,0.01158172016593914
HECTOR IBARRA,640,63,145.84126984126985,23,290,153.0,72.7730024269472,527,195,97,0.6434676434676435,0,0,1,8,63,1.0,0.0,0.0,0.013555094236407656
Michael Howard,209,1,146.0,146,146,146.0,0.0,8,2,3,0.6153846153846154,0,0,0,0,1,1.0,0.0,0.0,1.0
Pablo Meza,717,66,146.0151515151515,1,309,138.5,76.40569701357704,558,185,115,0.6503496503496503,1,1,3,9,66,1.0,0.015151515151515152,0.015151515151515152,0.012918945744065827
Cameron Kawasaki,680,67,146.16417910447763,3,296,154.0,83.40565292500398,560,201,110,0.642939150401837,2,3,5,15,67,1.0,0.029850746268656716,0.04477611940298507,0.01184754770973123
Bortoni,719,69,146.4927536231884,3,325,133.0,87.06194940933216,590,205,102,0.6577480490523969,1,3,7,13,69,1.0,0.014492753623188406,0.043478260869565216,0.01135564232574242
