Rank,Player,Country Code,Country,Championship Points
47,Otavio Gouveia,BRA,Brazil,711
48,Hector Adrian Pio Robles Sanchez,MEX,Mexico,709
49,Murilo Merc,BRA,Brazil,707
50,Steven Salas,CRI,Costa Rica,700
51,Marco Antonio Silva de Macedo Mota,BRA,Brazil,699
52,Miguel-Lopez,MEX,Mexico,699
53,Brayan Ramos,CHL,Chile,696
54,Augusto Cesar Beringuer Funari,BRA,Brazil,695
55,antonio jardim,BRA,Brazil,694
56,Nicolas Buczak,ARG,Argentina,692
57,damian fernandez urroz,ARG,Argentina,686
58,Diego Varea Barrera,PER,Peru,685
59,facundo manuel facio,ARG,Argentina,679
60,NashRaul,CHL,Chile,674
61,ANTHONY RIBEIRO,BRA,Brazil,670
62,Diego Castillo,CHL,Chile,667
63,jorge villar,CHL,Chile,665
64,Andres G,MEX,Mexico,665
65,Matias Diaz,CHL,Chile,665
66,Claudio Diaz,CHL,Chile,660
67,pauletegouveia,BRA,Brazil,660
68,fabricio valdivia,PER,Peru,659
69,Andrei Imada,BRA,Brazil,659
70,Matías Campos,CHL,Chile,657
71,Lucas Badaracco,BRA,Brazil,655
72,Dalton Acchetta,BRA,Brazil,654
73,Bastian Silva,CHL,Chile,653
74,Francodecre,MEX,Mexico,651
75,Jonhathan Vazquez,MEX,Mexico,651
76,Zheng Liang,CHL,Chile,650
77,Matias Ramirez Marianetti,CHL,Chile,646
78,Emanuel Jose Diogo Guerreiro,ARG,Argentina,644
79,Fabio Cozzolino,BRA,Brazil,642
80,Gabriel Pino,BRA,Brazil,642
81,Gabriel Perez,MEX,Mexico,640
82,Abelardo Fukasawa Borges,BRA,Brazil,640
83,Raissa Arruda,BRA,Brazil,640
84,Jorge S,CHL,Chile,639
85,Eduardo Romanelli,BRA,Brazil,638
86,oscar v,CHL,Chile,637
87,Santiago Blanco Gonzalez,BRA,Brazil,637
88,Bruno Arruda,BRA,Brazil,636
89,Pipih,ARG,Argentina,634
90,Caio Pires,BRA,Brazil,634
91,Miguel Ángel Linares Lamas,PER,Peru,633
92,aaron arturo aguirre osuna,MEX,Mexico,630
93,Felipe Weber,BRA,Brazil,629
94,animevictor,CHL,Chile,626
95,Rafael H,CHL,Chile,625
96,Naim Legñar,MEX,Mexico,625
97,Wellington Zoobi,BRA,Brazil,624
98,Robert Acuña,CRI,Costa Rica,622
99,sebastian arias,CHL,Chile,620
100,Eduardo Cisneros,MEX,Mexico,620
101,Marcelo Pacaje,CHL,Chile,620
101,PedroTurra,BRA,Brazil,620
103,Raúl Iván Chan Lanas,CHL,Chile,620
